import_batch,source_file,source_relpath,source_sha256,activity_id,start_time,sport,sub_sport,distance_mi,duration_s,avg_hr,max_hr,ascent_m,parser,parse_error
COROS_export_2026-06-07,477682692270358931.fit,data/coros_exports/COROS_export_2026-06-07/477682692270358931.fit,2bf73d26e31f0cf5250f874bd90d60b6093d4ff4e300fcc5f8178d640d1b06d4,477682692270358931,2026-05-23 00:45:29+00:00,running,,5.63,3575,149,175,11,fitdecode,
COROS_export_2026-06-07,477695700115685676.fit,data/coros_exports/COROS_export_2026-06-07/477695700115685676.fit,caaa8ffb807c000fe522ef534e628a8c5ef10c124a77ae60c0ef38efd7d63dda,477695700115685676,2026-05-23 15:14:49+00:00,running,,6.12,3865,153,166,35,fitdecode,
COROS_export_2026-06-07,477769149144137831.fit,data/coros_exports/COROS_export_2026-06-07/477769149144137831.fit,55e999d13939463f70bb3647e16ac472b7ec48fbd643c39af06498e45fe5f1a8,477769149144137831,2026-05-26 14:46:59,running,,0.65,493,128,136,,fitparse,
COROS_export_2026-06-07,477769149144137832.fit,data/coros_exports/COROS_export_2026-06-07/477769149144137832.fit,4c21778d3e38b10b07983713c52052e9c70c244e1e35df6879273895adf640b0,477769149144137832,2026-05-26 14:58:00,running,indoor_running,0.50,393,134,150,,fitparse,
COROS_export_2026-06-07,477934137641042227.fit,data/coros_exports/COROS_export_2026-06-07/477934137641042227.fit,0cd8bee6c0fb3daf0f0df04b238eab489ddbeb66bf94d82ea0a4c32779bbe7f2,477934137641042227,2026-06-02 21:13:22+00:00,running,,3.37,2390,138,153,20,fitdecode,
COROS_export_2026-06-07,477956221557571785.fit,data/coros_exports/COROS_export_2026-06-07/477956221557571785.fit,4a1b45f8d9c68fc15d329d48458041d85fb318d76033a9e09b3bc23637365715,477956221557571785,2026-06-03 21:05:23+00:00,running,,3.15,2579,134,146,28,fitdecode,
COROS_export_2026-06-07,477982301672734723.fit,data/coros_exports/COROS_export_2026-06-07/477982301672734723.fit,29add0fcd19fb2963d1d185cb54fa47cf003916c8f29f66517f314deadaa62cc,477982301672734723,2026-06-04 22:08:33+00:00,running,,5.75,4644,153,193,46,fitdecode,
COROS_export_2026-06-07,478002309498962025.fit,data/coros_exports/COROS_export_2026-06-07/478002309498962025.fit,0584bc6d36661b310c008180648facb7c07c7e1edd6cfd09adb1df9051166de2,478002309498962025,2026-06-05 21:18:06+00:00,running,,1.77,1290,141,158,10,fitdecode,
COROS_export_2026-06-07,478019420109701121.fit,data/coros_exports/COROS_export_2026-06-07/478019420109701121.fit,76c4666ac6b9d4153fc76a85e3a0d47c214da471be43c19bcc398a79a5a506aa,478019420109701121,2026-06-06 13:22:25,running,,3.12,1532,178,196,6,fitparse,
COROS_export_2026-06-07,478050082686534133.fit,data/coros_exports/COROS_export_2026-06-07/478050082686534133.fit,cf5e4bc7a8322f790c18678c1169caa45c6d089b7fa558f8399d1fd909a1f851,478050082686534133,2026-06-07 22:32:54+00:00,running,,4.35,3091,135,151,51,fitdecode,
